1644515892431	PolyGesture	InputEvent	BeginBatchEdit

1644515892640	PolyGesture	InputEvent	BeginBatchEdit

1644515892641	PolyGesture	InputEvent	BeginBatchEdit

1644515892667	PolyGesture	InputEvent	BeginBatchEdit

1644515893366	PolyGesture	InputEvent	SelectionChanged 311 311

1644515893387	PolyGesture	InputEvent	BeginBatchEdit

1644515893399	PolyGesture	InputEvent	BeginBatchEdit

1644515893600	PolyGesture	InputEvent	BeginBatchEdit

1644515893602	PolyGesture	InputEvent	BeginBatchEdit

1644515893623	PolyGesture	InputEvent	BeginBatchEdit

1644515894307	PolyGesture	InputEvent	SelectionChanged 312 312

1644515894328	PolyGesture	InputEvent	BeginBatchEdit

1644515894347	PolyGesture	InputEvent	BeginBatchEdit

1644515894549	PolyGesture	InputEvent	BeginBatchEdit

1644515894552	PolyGesture	InputEvent	BeginBatchEdit

1644515895043	PolyGesture	InputEvent	BeginBatchEdit

1644515895060	PolyGesture	InputEvent	SelectionChanged 0 0

1644515895062	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 514 514

1644515895068	PolyGesture	InputEvent	SelectionChanged 311 311

1644515895069	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 309 3 2

1644515895075	PolyGesture	InputEvent	SelectionChanged 311 311

1644515895088	PolyGesture	InputEvent	BeginBatchEdit

1644515895090	PolyGesture	InputEvent	BeginBatchEdit

1644515895090	PolyGesture	InputEvent	BeginBatchEdit

