1644166883659	PolyGesture	InputEvent	BeginBatchEdit

1644166883847	PolyGesture	InputEvent	BeginBatchEdit

1644166883848	PolyGesture	InputEvent	BeginBatchEdit

1644166884412	PolyGesture	InputEvent	TouchEvent (cursorPosition=131): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=732.0, y[0]=326.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=32903128, downTime=32903128, deviceId=4, source=0x1002, displayId=0 }
1644166884470	PolyGesture	InputEvent	TouchEvent (cursorPosition=131): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=732.0, y[0]=326.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=32903198, downTime=32903128, deviceId=4, source=0x1002, displayId=0 }
1644166884481	PolyGesture	InputEvent	SelectionChanged 311 311

1644166884502	PolyGesture	InputEvent	BeginBatchEdit

1644166884533	PolyGesture	InputEvent	BeginBatchEdit

1644166884732	PolyGesture	InputEvent	BeginBatchEdit

1644166884735	PolyGesture	InputEvent	BeginBatchEdit

1644166884767	PolyGesture	InputEvent	BeginBatchEdit

1644166885294	PolyGesture	InputEvent	TouchEvent (cursorPosition=311): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=755.0, y[0]=322.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=32904011, downTime=32904011, deviceId=4, source=0x1002, displayId=0 }
1644166885337	PolyGesture	InputEvent	TouchEvent (cursorPosition=311): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=755.0, y[0]=322.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=32904064, downTime=32904011, deviceId=4, source=0x1002, displayId=0 }
1644166885356	PolyGesture	InputEvent	SelectionChanged 313 313

1644166885375	PolyGesture	InputEvent	BeginBatchEdit

1644166885411	PolyGesture	InputEvent	BeginBatchEdit

1644166885603	PolyGesture	InputEvent	BeginBatchEdit

1644166885605	PolyGesture	InputEvent	BeginBatchEdit

1644166885627	PolyGesture	InputEvent	BeginBatchEdit

1644166886572	PolyGesture	InputEvent	BeginBatchEdit

1644166886588	PolyGesture	InputEvent	SelectionChanged 0 0

1644166886590	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX lwhen he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 516 516

1644166886595	PolyGesture	InputEvent	SelectionChanged 314 314

1644166886596	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX lwhen he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 313 0 1

1644166886600	PolyGesture	InputEvent	SelectionChanged 314 314

1644166886612	PolyGesture	InputEvent	BeginBatchEdit

1644166886614	PolyGesture	InputEvent	BeginBatchEdit

1644166886614	PolyGesture	InputEvent	BeginBatchEdit

1644166886624	PolyGesture	InputEvent	BeginBatchEdit

1644166886625	PolyGesture	InputEvent	BeginBatchEdit

1644166886625	PolyGesture	InputEvent	BeginBatchEdit

1644166886626	PolyGesture	InputEvent	BeginBatchEdit

1644166886626	PolyGesture	InputEvent	BeginBatchEdit

1644166886637	PolyGesture	InputEvent	BeginBatchEdit

1644166886637	PolyGesture	InputEvent	BeginBatchEdit

1644166886638	PolyGesture	InputEvent	BeginBatchEdit

1644166886639	PolyGesture	InputEvent	BeginBatchEdit

1644166886640	PolyGesture	InputEvent	BeginBatchEdit

1644166886641	PolyGesture	InputEvent	BeginBatchEdit

1644166886642	PolyGesture	InputEvent	BeginBatchEdit

1644166886657	PolyGesture	InputEvent	BeginBatchEdit

