1644605850476	PolyGesture	InputEvent	TouchEvent (cursorPosition=311): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=672.0, y[0]=534.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=31101402, downTime=31101311, deviceId=4, source=0x1002, displayId=0 }
1644605850488	PolyGesture	InputEvent	SelectionChanged 436 436

1644605850511	PolyGesture	InputEvent	BeginBatchEdit

1644605850548	PolyGesture	InputEvent	BeginBatchEdit

1644605850761	PolyGesture	InputEvent	BeginBatchEdit

1644605850763	PolyGesture	InputEvent	BeginBatchEdit

1644605850784	PolyGesture	InputEvent	BeginBatchEdit

1644605856537	PolyGesture	InputEvent	BeginBatchEdit

1644605856546	PolyGesture	InputEvent	SelectionChanged 0 0

1644605856550	PolyGesture	TaskCompleted	Cancella carattere in 26"858 seconds (at 31107476, effective time: 25"385)

***************************************


1644605856558	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little village where he had been so often lately was that no one knew who he was.' 0 513 513

1644605856564	PolyGesture	InputEvent	SelectionChanged 435 435

1644605856564	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little village where he had been so often lately was that no one knew who he was.' 435 1 0

1644605856568	PolyGesture	InputEvent	SelectionChanged 435 435

1644605856578	PolyGesture	InputEvent	BeginBatchEdit

1644605856614	PolyGesture	InputEvent	BeginBatchEdit

1644605856615	PolyGesture	InputEvent	BeginBatchEdit

1644605856618	PolyGesture	InputEvent	BeginBatchEdit

1644605856631	PolyGesture	InputEvent	BeginBatchEdit

1644605856633	PolyGesture	InputEvent	BeginBatchEdit

1644605856636	PolyGesture	InputEvent	BeginBatchEdit

1644605856638	PolyGesture	InputEvent	BeginBatchEdit

1644605856639	PolyGesture	InputEvent	BeginBatchEdit

1644605856641	PolyGesture	InputEvent	BeginBatchEdit

1644605856642	PolyGesture	InputEvent	BeginBatchEdit

1644605856643	PolyGesture	InputEvent	BeginBatchEdit

1644605856842	PolyGesture	InputEvent	BeginBatchEdit

1644605856844	PolyGesture	InputEvent	BeginBatchEdit

1644605857964	PolyGesture	InputEvent	BeginBatchEdit

1644605857978	PolyGesture	InputEvent	BeginBatchEdit

1644605858357	PolyGesture	InputEvent	KeyDown 4 KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_BACK, scanCode=0, metaState=0, flags=0x8, repeatCount=0, eventTime=31109279, downTime=31109279, deviceId=-1, source=0x101, displayId=0 }

1644605858361	PolyGesture	InputEvent	BeginBatchEdit

1644605858406	PolyGesture	InputEvent	WindowFocusChanged false

1644605858434	PolyGesture	InputEvent	BeginBatchEdit

1644605858434	PolyGesture	InputEvent	BeginBatchEdit

1644605859309	PolyGesture	InputEvent	SelectionChanged 0 0

1644605859310	PolyGesture	InputEvent	TextChanged '' 0 0 0

1644605859397	PolyGesture	InputEvent	SelectionChanged 0 0

1644605859397	PolyGesture	InputEvent	SelectionChanged 0 0

1644605859398	PolyGesture	TaskStarted	Cancella parola

1644605859398	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXXXXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 534 534

1644605859401	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXXXXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 0 534

1644605859405	PolyGesture	InputEvent	SelectionChanged 534 534

1644605859424	PolyGesture	InputEvent	FocusChanged true 130 null

1644605859447	PolyGesture	InputEvent	WindowFocusChanged true

1644605860544	PolyGesture	InputEvent	TouchEvent (cursorPosition=534): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=341.0, y[0]=140.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=31111460, downTime=31111460, deviceId=4, source=0x1002, displayId=0 }
1644605860597	PolyGesture	InputEvent	TouchEvent (cursorPosition=534): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=341.0, y[0]=140.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=31111522, downTime=31111460, deviceId=4, source=0x1002, displayId=0 }
1644605860609	PolyGesture	InputEvent	SelectionChanged 109 109

1644605860636	PolyGesture	InputEvent	BeginBatchEdit

1644605860637	PolyGesture	InputEvent	BeginBatchEdit

1644605860669	PolyGesture	InputEvent	BeginBatchEdit

1644605860698	PolyGesture	InputEvent	BeginBatchEdit

1644605860899	PolyGesture	InputEvent	BeginBatchEdit

1644605860901	PolyGesture	InputEvent	BeginBatchEdit

1644605860923	PolyGesture	InputEvent	BeginBatchEdit

1644605862643	PolyGesture	InputEvent	TouchEvent (cursorPosition=109): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=201.0, y[0]=141.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=31113560, downTime=31113560, deviceId=4, source=0x1002, displayId=0 }
1644605862709	PolyGesture	InputEvent	TouchEvent (cursorPosition=109): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=201.0, y[0]=141.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=31113634, downTime=31113560, deviceId=4, source=0x1002, displayId=0 }
1644605862723	PolyGesture	InputEvent	SelectionChanged 104 104

1644605862725	PolyGesture	InputEvent	SelectionChanged 109 104

1644605862733	PolyGesture	InputEvent	BeginBatchEdit

1644605862735	PolyGesture	InputEvent	BeginBatchEdit

1644605862736	PolyGesture	InputEvent	BeginBatchEdit

1644605862737	PolyGesture	InputEvent	BeginBatchEdit

1644605862939	PolyGesture	InputEvent	BeginBatchEdit

1644605862940	PolyGesture	InputEvent	BeginBatchEdit

1644605862964	PolyGesture	InputEvent	BeginBatchEdit

1644605863617	PolyGesture	InputEvent	SelectionChanged 109 103

1644605863641	PolyGesture	InputEvent	BeginBatchEdit

1644605863644	PolyGesture	InputEvent	BeginBatchEdit

1644605863846	PolyGesture	InputEvent	BeginBatchEdit

1644605869364	PolyGesture	InputEvent	BeginBatchEdit

1644605869368	PolyGesture	InputEvent	SelectionChanged 0 0

1644605869372	PolyGesture	InputEvent	BeginBatchEdit

1644605869376	PolyGesture	InputEvent	SelectionChanged 0 0

1644605869379	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf  round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 528 528

1644605869391	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf  round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 534 528

1644605869397	PolyGesture	InputEvent	SelectionChanged 103 103

1644605869426	PolyGesture	InputEvent	BeginBatchEdit

1644605869429	PolyGesture	InputEvent	BeginBatchEdit

1644605869430	PolyGesture	InputEvent	BeginBatchEdit

1644605869431	PolyGesture	InputEvent	BeginBatchEdit

1644605869450	PolyGesture	InputEvent	BeginBatchEdit

1644605869450	PolyGesture	InputEvent	BeginBatchEdit

1644605869451	PolyGesture	InputEvent	BeginBatchEdit

1644605869451	PolyGesture	InputEvent	BeginBatchEdit

1644605869461	PolyGesture	InputEvent	BeginBatchEdit

1644605869462	PolyGesture	InputEvent	BeginBatchEdit

1644605869463	PolyGesture	InputEvent	BeginBatchEdit

1644605869465	PolyGesture	InputEvent	BeginBatchEdit

1644605869484	PolyGesture	InputEvent	BeginBatchEdit

