1647350535776	PolyGesture	InputEvent	BeginBatchEdit

1647350535782	PolyGesture	InputEvent	BeginBatchEdit

1647350535782	PolyGesture	InputEvent	BeginBatchEdit

1647350535790	PolyGesture	InputEvent	BeginBatchEdit

1647350535793	PolyGesture	InputEvent	BeginBatchEdit

1647350535795	PolyGesture	InputEvent	BeginBatchEdit

1647350535798	PolyGesture	InputEvent	BeginBatchEdit

1647350535999	PolyGesture	InputEvent	BeginBatchEdit

1647350536598	PolyGesture	InputEvent	TouchEvent (cursorPosition=311): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=946.0, y[0]=333.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=430688554, downTime=430688554, deviceId=6, source=0x1002, displayId=0 }
1647350536677	PolyGesture	InputEvent	TouchEvent (cursorPosition=311): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=946.0, y[0]=333.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=430688637, downTime=430688554, deviceId=6, source=0x1002, displayId=0 }
1647350536684	PolyGesture	InputEvent	SelectionChanged 436 436

1647350536716	PolyGesture	InputEvent	BeginBatchEdit

1647350536754	PolyGesture	InputEvent	BeginBatchEdit

1647350536962	PolyGesture	InputEvent	BeginBatchEdit

1647350538017	PolyGesture	InputEvent	BeginBatchEdit

1647350538043	PolyGesture	InputEvent	SelectionChanged 0 0

1647350538046	PolyGesture	TaskCompleted	Cancella carattere in 21"534 seconds (at 430690005, effective time: 18"218)

***************************************


1647350538055	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little village where he had been so often lately was that no one knew who he was.' 0 513 513

1647350538059	PolyGesture	InputEvent	SelectionChanged 435 435

1647350538060	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little village where he had been so often lately was that no one knew who he was.' 435 1 0

1647350538065	PolyGesture	InputEvent	SelectionChanged 435 435

1647350538077	PolyGesture	InputEvent	BeginBatchEdit

1647350538120	PolyGesture	InputEvent	BeginBatchEdit

1647350538121	PolyGesture	InputEvent	BeginBatchEdit

1647350538127	PolyGesture	InputEvent	BeginBatchEdit

1647350538129	PolyGesture	InputEvent	BeginBatchEdit

1647350538133	PolyGesture	InputEvent	BeginBatchEdit

1647350538140	PolyGesture	InputEvent	BeginBatchEdit

1647350538337	PolyGesture	InputEvent	BeginBatchEdit

1647350545615	PolyGesture	InputEvent	KeyDown 4 KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_BACK, scanCode=0, metaState=0, flags=0x8, repeatCount=0, eventTime=430697557, downTime=430697557, deviceId=-1, source=0x101, displayId=0 }

1647350545617	PolyGesture	InputEvent	BeginBatchEdit

1647350545661	PolyGesture	InputEvent	WindowFocusChanged false

1647350545690	PolyGesture	InputEvent	BeginBatchEdit

1647350545691	PolyGesture	InputEvent	BeginBatchEdit

1647350548022	PolyGesture	InputEvent	SelectionChanged 0 0

1647350548023	PolyGesture	InputEvent	TextChanged '' 0 0 0

1647350548076	PolyGesture	InputEvent	SelectionChanged 0 0

1647350548077	PolyGesture	InputEvent	SelectionChanged 0 0

1647350548078	PolyGesture	TaskStarted	Cancella parola

1647350548078	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXXXXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 534 534

1647350548082	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXXXXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 0 534

1647350548086	PolyGesture	InputEvent	SelectionChanged 534 534

1647350548104	PolyGesture	InputEvent	FocusChanged true 130 null

1647350548128	PolyGesture	InputEvent	WindowFocusChanged true

1647350552189	PolyGesture	InputEvent	TouchEvent (cursorPosition=534): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=855.0, y[0]=67.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=430704139, downTime=430704139, deviceId=6, source=0x1002, displayId=0 }
1647350552499	PolyGesture	InputEvent	SelectionChanged 103 109

1647350552638	PolyGesture	InputEvent	TouchEvent (cursorPosition=103): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=855.0, y[0]=67.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=430704597, downTime=430704139, deviceId=6, source=0x1002, displayId=0 }
1647350552727	PolyGesture	InputEvent	BeginBatchEdit

1647350552868	PolyGesture	InputEvent	BeginBatchEdit

1647350552868	PolyGesture	InputEvent	BeginBatchEdit

1647350555979	PolyGesture	InputEvent	TouchEvent (cursorPosition=103): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=627.0, y[0]=83.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=430707929, downTime=430707929, deviceId=6, source=0x1002, displayId=0 }
1647350556035	PolyGesture	InputEvent	TouchEvent (cursorPosition=103): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=627.0, y[0]=83.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=430707995, downTime=430707929, deviceId=6, source=0x1002, displayId=0 }
1647350556071	PolyGesture	InputEvent	SelectionChanged 94 94

1647350556105	PolyGesture	InputEvent	BeginBatchEdit

1647350556146	PolyGesture	InputEvent	BeginBatchEdit

1647350556345	PolyGesture	InputEvent	BeginBatchEdit

1647350557909	PolyGesture	InputEvent	TouchEvent (cursorPosition=94): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=901.0, y[0]=54.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=430709867, downTime=430709867, deviceId=6, source=0x1002, displayId=0 }
1647350557970	PolyGesture	InputEvent	TouchEvent (cursorPosition=94): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=901.0, y[0]=54.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=430709929, downTime=430709867, deviceId=6, source=0x1002, displayId=0 }
1647350557989	PolyGesture	InputEvent	SelectionChanged 109 109

1647350558021	PolyGesture	InputEvent	BeginBatchEdit

1647350558075	PolyGesture	InputEvent	BeginBatchEdit

1647350558285	PolyGesture	InputEvent	BeginBatchEdit

1647350564805	PolyGesture	InputEvent	SelectionChanged 109 108

1647350564822	PolyGesture	InputEvent	BeginBatchEdit

1647350564825	PolyGesture	InputEvent	BeginBatchEdit

1647350565005	PolyGesture	InputEvent	SelectionChanged 109 107

1647350565026	PolyGesture	InputEvent	BeginBatchEdit

1647350565029	PolyGesture	InputEvent	BeginBatchEdit

1647350565171	PolyGesture	InputEvent	SelectionChanged 109 106

1647350565193	PolyGesture	InputEvent	BeginBatchEdit

1647350565196	PolyGesture	InputEvent	BeginBatchEdit

1647350565324	PolyGesture	InputEvent	SelectionChanged 109 105

1647350565339	PolyGesture	InputEvent	BeginBatchEdit

1647350565342	PolyGesture	InputEvent	BeginBatchEdit

1647350565486	PolyGesture	InputEvent	SelectionChanged 109 104

1647350565505	PolyGesture	InputEvent	BeginBatchEdit

1647350565508	PolyGesture	InputEvent	BeginBatchEdit

1647350565646	PolyGesture	InputEvent	SelectionChanged 109 103

1647350565661	PolyGesture	InputEvent	BeginBatchEdit

1647350565664	PolyGesture	InputEvent	BeginBatchEdit

1647350565865	PolyGesture	InputEvent	BeginBatchEdit

1647350572078	PolyGesture	InputEvent	BeginBatchEdit

1647350572079	PolyGesture	InputEvent	SelectionChanged 109 109

1647350572088	PolyGesture	InputEvent	SelectionChanged 0 0

1647350572091	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf  round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 528 528

1647350572100	PolyGesture	InputEvent	SelectionChanged 103 103

1647350572101	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf  round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 103 6 0

1647350572104	PolyGesture	InputEvent	SelectionChanged 103 103

1647350572122	PolyGesture	InputEvent	BeginBatchEdit

1647350572128	PolyGesture	InputEvent	BeginBatchEdit

1647350572129	PolyGesture	InputEvent	BeginBatchEdit

1647350572139	PolyGesture	InputEvent	BeginBatchEdit

1647350572147	PolyGesture	InputEvent	BeginBatchEdit

1647350572148	PolyGesture	InputEvent	BeginBatchEdit

1647350572150	PolyGesture	InputEvent	BeginBatchEdit

1647350572352	PolyGesture	InputEvent	BeginBatchEdit

1647350573610	PolyGesture	InputEvent	TouchEvent (cursorPosition=103): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=727.0, y[0]=211.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=430725560, downTime=430725560, deviceId=6, source=0x1002, displayId=0 }
1647350573661	PolyGesture	InputEvent	TouchEvent (cursorPosition=103): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=727.0, y[0]=211.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=430725621, downTime=430725560, deviceId=6, source=0x1002, displayId=0 }
1647350573669	PolyGesture	InputEvent	SelectionChanged 263 263

1647350573692	PolyGesture	InputEvent	BeginBatchEdit

1647350573729	PolyGesture	InputEvent	BeginBatchEdit

1647350573937	PolyGesture	InputEvent	BeginBatchEdit

1647350575674	PolyGesture	InputEvent	SelectionChanged 263 262

1647350575691	PolyGesture	InputEvent	BeginBatchEdit

1647350575695	PolyGesture	InputEvent	BeginBatchEdit

1647350575816	PolyGesture	InputEvent	SelectionChanged 263 261

1647350575833	PolyGesture	InputEvent	BeginBatchEdit

1647350575836	PolyGesture	InputEvent	BeginBatchEdit

1647350575955	PolyGesture	InputEvent	SelectionChanged 263 260

1647350575978	PolyGesture	InputEvent	BeginBatchEdit

1647350575981	PolyGesture	InputEvent	BeginBatchEdit

1647350576095	PolyGesture	InputEvent	SelectionChanged 263 259

1647350576111	PolyGesture	InputEvent	BeginBatchEdit

1647350576114	PolyGesture	InputEvent	BeginBatchEdit

1647350576241	PolyGesture	InputEvent	SelectionChanged 263 258

1647350576256	PolyGesture	InputEvent	BeginBatchEdit

1647350576259	PolyGesture	InputEvent	BeginBatchEdit

1647350576413	PolyGesture	InputEvent	SelectionChanged 263 257

1647350576428	PolyGesture	InputEvent	BeginBatchEdit

1647350576432	PolyGesture	InputEvent	BeginBatchEdit

1647350576634	PolyGesture	InputEvent	BeginBatchEdit

1647350577741	PolyGesture	InputEvent	BeginBatchEdit

1647350577742	PolyGesture	InputEvent	SelectionChanged 263 263

1647350577751	PolyGesture	InputEvent	SelectionChanged 0 0

1647350577754	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf  round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That  is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 522 522

1647350577763	PolyGesture	InputEvent	SelectionChanged 257 257

1647350577764	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf  round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That  is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 257 6 0
