1643970800376	PolyGesture	InputEvent	BeginBatchEdit

1643970800376	PolyGesture	InputEvent	BeginBatchEdit

1643970800378	PolyGesture	InputEvent	BeginBatchEdit

1643970800379	PolyGesture	InputEvent	BeginBatchEdit

1643970800380	PolyGesture	InputEvent	BeginBatchEdit

1643970800382	PolyGesture	InputEvent	BeginBatchEdit

1643970800386	PolyGesture	InputEvent	BeginBatchEdit

1643970800386	PolyGesture	InputEvent	BeginBatchEdit

1643970800396	PolyGesture	InputEvent	BeginBatchEdit

1643970800586	PolyGesture	InputEvent	BeginBatchEdit

1643970800587	PolyGesture	InputEvent	BeginBatchEdit

1643970801027	PolyGesture	InputEvent	TouchEvent (cursorPosition=131): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=762.0, y[0]=308.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=82004799, downTime=82004799, deviceId=6, source=0x1002, displayId=0 }
1643970801074	PolyGesture	InputEvent	TouchEvent (cursorPosition=131): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=762.0, y[0]=308.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=82004854, downTime=82004799, deviceId=6, source=0x1002, displayId=0 }
1643970801084	PolyGesture	InputEvent	SelectionChanged 313 313

1643970801110	PolyGesture	InputEvent	BeginBatchEdit

1643970801139	PolyGesture	InputEvent	BeginBatchEdit

1643970801346	PolyGesture	InputEvent	BeginBatchEdit

1643970801347	PolyGesture	InputEvent	BeginBatchEdit

1643970801367	PolyGesture	InputEvent	BeginBatchEdit

1643970802005	PolyGesture	InputEvent	SelectionChanged 312 312

1643970802025	PolyGesture	InputEvent	BeginBatchEdit

1643970802038	PolyGesture	InputEvent	BeginBatchEdit

1643970802081	PolyGesture	InputEvent	SelectionChanged 311 311

1643970802093	PolyGesture	InputEvent	BeginBatchEdit

1643970802105	PolyGesture	InputEvent	BeginBatchEdit

1643970802306	PolyGesture	InputEvent	BeginBatchEdit

1643970802308	PolyGesture	InputEvent	BeginBatchEdit

1643970802326	PolyGesture	InputEvent	BeginBatchEdit

1643970802439	PolyGesture	InputEvent	SelectionChanged 312 312

1643970802454	PolyGesture	InputEvent	BeginBatchEdit

1643970802464	PolyGesture	InputEvent	BeginBatchEdit

1643970802665	PolyGesture	InputEvent	BeginBatchEdit

1643970802667	PolyGesture	InputEvent	BeginBatchEdit

1643970803434	PolyGesture	InputEvent	BeginBatchEdit

1643970803452	PolyGesture	InputEvent	SelectionChanged 0 0

1643970803454	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 514 514

1643970803458	PolyGesture	InputEvent	SelectionChanged 311 311

1643970803459	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 309 3 2

1643970803463	PolyGesture	InputEvent	SelectionChanged 311 311

1643970803475	PolyGesture	InputEvent	BeginBatchEdit

1643970803477	PolyGesture	InputEvent	BeginBatchEdit

1643970803478	PolyGesture	InputEvent	BeginBatchEdit

1643970803478	PolyGesture	InputEvent	BeginBatchEdit

1643970803492	PolyGesture	InputEvent	BeginBatchEdit

1643970803493	PolyGesture	InputEvent	BeginBatchEdit

1643970803493	PolyGesture	InputEvent	BeginBatchEdit

1643970803493	PolyGesture	InputEvent	BeginBatchEdit

1643970803504	PolyGesture	InputEvent	BeginBatchEdit

1643970803504	PolyGesture	InputEvent	BeginBatchEdit

1643970803505	PolyGesture	InputEvent	BeginBatchEdit

1643970803506	PolyGesture	InputEvent	BeginBatchEdit

1643970803507	PolyGesture	InputEvent	BeginBatchEdit

1643970803507	PolyGesture	InputEvent	BeginBatchEdit

1643970803527	PolyGesture	InputEvent	BeginBatchEdit

1643970803527	PolyGesture	InputEvent	BeginBatchEdit

1643970803529	PolyGesture	InputEvent	BeginBatchEdit

1643970803530	PolyGesture	InputEvent	BeginBatchEdit

1643970803548	PolyGesture	InputEvent	BeginBatchEdit

1643970803549	PolyGesture	InputEvent	BeginBatchEdit

1643970803732	PolyGesture	InputEvent	BeginBatchEdit

1643970803733	PolyGesture	InputEvent	BeginBatchEdit

1643970804148	PolyGesture	InputEvent	TouchEvent (cursorPosition=311): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=931.0, y[0]=374.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=82007927, downTime=82007927, deviceId=6, source=0x1002, displayId=0 }
1643970804200	PolyGesture	InputEvent	TouchEvent (cursorPosition=311): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=931.0, y[0]=374.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=82007980, downTime=82007927, deviceId=6, source=0x1002, displayId=0 }
1643970804210	PolyGesture	InputEvent	SelectionChanged 379 379

1643970804240	PolyGesture	InputEvent	BeginBatchEdit

1643970804272	PolyGesture	InputEvent	BeginBatchEdit

1643970804476	PolyGesture	InputEvent	BeginBatchEdit

1643970804477	PolyGesture	InputEvent	BeginBatchEdit

1643970804496	PolyGesture	InputEvent	BeginBatchEdit

1643970804944	PolyGesture	InputEvent	SelectionChanged 380 380

1643970804960	PolyGesture	InputEvent	BeginBatchEdit

1643970804969	PolyGesture	InputEvent	BeginBatchEdit

1643970805134	PolyGesture	InputEvent	SelectionChanged 436 436

1643970805151	PolyGesture	InputEvent	BeginBatchEdit

1643970805159	PolyGesture	InputEvent	BeginBatchEdit

1643970805359	PolyGesture	InputEvent	BeginBatchEdit

1643970805361	PolyGesture	InputEvent	BeginBatchEdit

1643970805378	PolyGesture	InputEvent	BeginBatchEdit

1643970805411	PolyGesture	InputEvent	SelectionChanged 435 435

1643970805423	PolyGesture	InputEvent	BeginBatchEdit

1643970805434	PolyGesture	InputEvent	SelectionChanged 436 436

1643970805449	PolyGesture	InputEvent	BeginBatchEdit

1643970805456	PolyGesture	InputEvent	BeginBatchEdit

1643970805459	PolyGesture	InputEvent	BeginBatchEdit

1643970805659	PolyGesture	InputEvent	BeginBatchEdit

1643970805661	PolyGesture	InputEvent	BeginBatchEdit

1643970806274	PolyGesture	InputEvent	BeginBatchEdit

1643970806303	PolyGesture	InputEvent	SelectionChanged 0 0

1643970806304	PolyGesture	TaskCompleted	Cancella carattere in 11"767 seconds (at 82010085, effective time: 10"736)

***************************************


1643970806314	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little village where he had been so often lately was that no one knew who he was.' 0 513 513

1643970806318	PolyGesture	InputEvent	SelectionChanged 435 435

1643970806318	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little village where he had been so often lately was that no one knew who he was.' 435 1 0

1643970806323	PolyGesture	InputEvent	SelectionChanged 435 435

1643970806330	PolyGesture	InputEvent	BeginBatchEdit

1643970806363	PolyGesture	InputEvent	BeginBatchEdit

1643970806364	PolyGesture	InputEvent	BeginBatchEdit

1643970806365	PolyGesture	InputEvent	BeginBatchEdit

1643970806378	PolyGesture	InputEvent	BeginBatchEdit

1643970806382	PolyGesture	InputEvent	BeginBatchEdit

1643970806384	PolyGesture	InputEvent	BeginBatchEdit

1643970806386	PolyGesture	InputEvent	BeginBatchEdit

1643970806386	PolyGesture	InputEvent	BeginBatchEdit

1643970806388	PolyGesture	InputEvent	BeginBatchEdit

1643970806388	PolyGesture	InputEvent	BeginBatchEdit

1643970806399	PolyGesture	InputEvent	BeginBatchEdit

1643970806589	PolyGesture	InputEvent	BeginBatchEdit

1643970806592	PolyGesture	InputEvent	BeginBatchEdit

1643970807073	PolyGesture	InputEvent	BeginBatchEdit

1643970807083	PolyGesture	InputEvent	BeginBatchEdit

1643970807470	PolyGesture	InputEvent	KeyDown 4 KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_BACK, scanCode=0, metaState=0, flags=0x8, repeatCount=0, eventTime=82011246, downTime=82011246, deviceId=-1, source=0x101, displayId=0 }

1643970807473	PolyGesture	InputEvent	BeginBatchEdit

1643970807531	PolyGesture	InputEvent	WindowFocusChanged false

1643970807557	PolyGesture	InputEvent	BeginBatchEdit

1643970807557	PolyGesture	InputEvent	BeginBatchEdit

1643970808298	PolyGesture	InputEvent	SelectionChanged 0 0

1643970808299	PolyGesture	InputEvent	TextChanged '' 0 0 0

1643970808303	PolyGesture	InputEvent	SelectionChanged 0 0

1643970808304	PolyGesture	InputEvent	SelectionChanged 0 0

1643970808304	PolyGesture	TaskStarted	Cancella parola

1643970808304	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXXXXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 534 534

1643970808307	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXXXXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 0 534

1643970808309	PolyGesture	InputEvent	SelectionChanged 534 534

1643970808324	PolyGesture	InputEvent	FocusChanged true 130 null

1643970808344	PolyGesture	InputEvent	WindowFocusChanged true

1643970808354	PolyGesture	InputEvent	BeginBatchEdit

1643970808355	PolyGesture	InputEvent	BeginBatchEdit

1643970809378	PolyGesture	InputEvent	TouchEvent (cursorPosition=534): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=875.0, y[0]=146.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=82013143, downTime=82013143, deviceId=6, source=0x1002, displayId=0 }
1643970809417	PolyGesture	InputEvent	TouchEvent (cursorPosition=534): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=875.0, y[0]=146.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=82013198, downTime=82013143, deviceId=6, source=0x1002, displayId=0 }
1643970809430	PolyGesture	InputEvent	SelectionChanged 108 108

1643970809452	PolyGesture	InputEvent	BeginBatchEdit

1643970809472	PolyGesture	InputEvent	BeginBatchEdit

1643970809476	PolyGesture	InputEvent	BeginBatchEdit

1643970809507	PolyGesture	InputEvent	BeginBatchEdit

1643970809508	PolyGesture	InputEvent	BeginBatchEdit

1643970809520	PolyGesture	InputEvent	BeginBatchEdit

1643970809540	PolyGesture	InputEvent	BeginBatchEdit

1643970809588	PolyGesture	InputEvent	BeginBatchEdit

1643970809589	PolyGesture	InputEvent	BeginBatchEdit

1643970809590	PolyGesture	InputEvent	BeginBatchEdit

1643970809607	PolyGesture	InputEvent	BeginBatchEdit

1643970809787	PolyGesture	InputEvent	BeginBatchEdit

1643970809788	PolyGesture	InputEvent	BeginBatchEdit

1643970810101	PolyGesture	InputEvent	SelectionChanged 109 109

1643970810117	PolyGesture	InputEvent	BeginBatchEdit

1643970810125	PolyGesture	InputEvent	BeginBatchEdit

1643970810145	PolyGesture	InputEvent	SelectionChanged 110 110

1643970810157	PolyGesture	InputEvent	BeginBatchEdit

1643970810169	PolyGesture	InputEvent	BeginBatchEdit

1643970810370	PolyGesture	InputEvent	BeginBatchEdit

1643970810372	PolyGesture	InputEvent	BeginBatchEdit

1643970810390	PolyGesture	InputEvent	BeginBatchEdit

1643970810458	PolyGesture	InputEvent	SelectionChanged 109 109

1643970810472	PolyGesture	InputEvent	BeginBatchEdit

1643970810480	PolyGesture	InputEvent	BeginBatchEdit

1643970810681	PolyGesture	InputEvent	BeginBatchEdit

1643970810683	PolyGesture	InputEvent	BeginBatchEdit

1643970810701	PolyGesture	InputEvent	BeginBatchEdit

1643970811401	PolyGesture	InputEvent	BeginBatchEdit

1643970811424	PolyGesture	InputEvent	SelectionChanged 0 0

1643970811425	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXXXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 533 533

1643970811430	PolyGesture	InputEvent	SelectionChanged 108 108

1643970811431	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXXXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 103 6 5

1643970811436	PolyGesture	InputEvent	SelectionChanged 108 108

1643970811454	PolyGesture	InputEvent	BeginBatchEdit

1643970811456	PolyGesture	InputEvent	BeginBatchEdit

1643970811457	PolyGesture	InputEvent	BeginBatchEdit

