1643971184390	PolyGesture	InputEvent	TouchEvent (cursorPosition=311): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=951.0, y[0]=358.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=82388169, downTime=82388169, deviceId=6, source=0x1002, displayId=0 }
1643971184437	PolyGesture	InputEvent	TouchEvent (cursorPosition=311): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=951.0, y[0]=358.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=82388218, downTime=82388169, deviceId=6, source=0x1002, displayId=0 }
1643971184446	PolyGesture	InputEvent	SelectionChanged 437 437

1643971184468	PolyGesture	InputEvent	BeginBatchEdit

1643971184486	PolyGesture	InputEvent	BeginBatchEdit

1643971184694	PolyGesture	InputEvent	BeginBatchEdit

1643971184695	PolyGesture	InputEvent	BeginBatchEdit

1643971184716	PolyGesture	InputEvent	BeginBatchEdit

1643971185108	PolyGesture	InputEvent	SelectionChanged 436 436

1643971185130	PolyGesture	InputEvent	BeginBatchEdit

1643971185152	PolyGesture	InputEvent	BeginBatchEdit

1643971185353	PolyGesture	InputEvent	BeginBatchEdit

1643971185355	PolyGesture	InputEvent	BeginBatchEdit

1643971185800	PolyGesture	InputEvent	BeginBatchEdit

1643971185819	PolyGesture	InputEvent	SelectionChanged 0 0

1643971185821	PolyGesture	TaskCompleted	Cancella carattere in 8"622 seconds (at 82389602, effective time: 7"517)

***************************************


1643971185830	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little village where he had been so often lately was that no one knew who he was.' 0 513 513

1643971185833	PolyGesture	InputEvent	SelectionChanged 435 435

1643971185833	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little village where he had been so often lately was that no one knew who he was.' 435 1 0

1643971185836	PolyGesture	InputEvent	SelectionChanged 435 435

1643971185844	PolyGesture	InputEvent	BeginBatchEdit

1643971185878	PolyGesture	InputEvent	BeginBatchEdit

1643971185878	PolyGesture	InputEvent	BeginBatchEdit

1643971185879	PolyGesture	InputEvent	BeginBatchEdit

1643971185880	PolyGesture	InputEvent	BeginBatchEdit

1643971185894	PolyGesture	InputEvent	BeginBatchEdit

1643971185894	PolyGesture	InputEvent	BeginBatchEdit

1643971185895	PolyGesture	InputEvent	BeginBatchEdit

1643971185896	PolyGesture	InputEvent	BeginBatchEdit

1643971185898	PolyGesture	InputEvent	BeginBatchEdit

1643971185898	PolyGesture	InputEvent	BeginBatchEdit

1643971185899	PolyGesture	InputEvent	BeginBatchEdit

1643971186098	PolyGesture	InputEvent	BeginBatchEdit

1643971186100	PolyGesture	InputEvent	BeginBatchEdit

1643971186433	PolyGesture	InputEvent	BeginBatchEdit

1643971186444	PolyGesture	InputEvent	BeginBatchEdit

1643971187217	PolyGesture	InputEvent	KeyDown 4 KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_BACK, scanCode=0, metaState=0, flags=0x8, repeatCount=0, eventTime=82390994, downTime=82390994, deviceId=-1, source=0x101, displayId=0 }

1643971187220	PolyGesture	InputEvent	BeginBatchEdit

1643971187261	PolyGesture	InputEvent	WindowFocusChanged false

1643971187298	PolyGesture	InputEvent	BeginBatchEdit

1643971187298	PolyGesture	InputEvent	BeginBatchEdit

1643971188082	PolyGesture	InputEvent	SelectionChanged 0 0

1643971188082	PolyGesture	InputEvent	TextChanged '' 0 0 0

1643971188138	PolyGesture	InputEvent	SelectionChanged 0 0

1643971188139	PolyGesture	InputEvent	SelectionChanged 0 0

1643971188139	PolyGesture	TaskStarted	Cancella parola

1643971188140	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXXXXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 534 534

1643971188142	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXXXXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 0 534

1643971188145	PolyGesture	InputEvent	SelectionChanged 534 534

1643971188162	PolyGesture	InputEvent	FocusChanged true 130 null

1643971188180	PolyGesture	InputEvent	WindowFocusChanged true

1643971189228	PolyGesture	InputEvent	TouchEvent (cursorPosition=534): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=862.0, y[0]=72.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=82392999, downTime=82392999, deviceId=6, source=0x1002, displayId=0 }
1643971189289	PolyGesture	InputEvent	TouchEvent (cursorPosition=534): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=862.0, y[0]=72.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=82393069, downTime=82392999, deviceId=6, source=0x1002, displayId=0 }
1643971189299	PolyGesture	InputEvent	SelectionChanged 107 107

1643971189325	PolyGesture	InputEvent	BeginBatchEdit

1643971189326	PolyGesture	InputEvent	BeginBatchEdit

1643971189335	PolyGesture	InputEvent	BeginBatchEdit

1643971189343	PolyGesture	InputEvent	BeginBatchEdit

1643971189550	PolyGesture	InputEvent	BeginBatchEdit

1643971189551	PolyGesture	InputEvent	BeginBatchEdit

1643971189570	PolyGesture	InputEvent	BeginBatchEdit

1643971190171	PolyGesture	InputEvent	SelectionChanged 108 108

1643971190192	PolyGesture	InputEvent	BeginBatchEdit

1643971190208	PolyGesture	InputEvent	BeginBatchEdit

1643971190352	PolyGesture	InputEvent	SelectionChanged 109 109

1643971190376	PolyGesture	InputEvent	BeginBatchEdit

1643971190386	PolyGesture	InputEvent	BeginBatchEdit

1643971190590	PolyGesture	InputEvent	BeginBatchEdit

