1647596453378	PolyGesture	InputEvent	BeginBatchEdit

1647596453380	PolyGesture	InputEvent	BeginBatchEdit

1647596453399	PolyGesture	InputEvent	BeginBatchEdit

1647596454001	PolyGesture	InputEvent	SelectionChanged 312 312

1647596454016	PolyGesture	InputEvent	BeginBatchEdit

1647596454026	PolyGesture	InputEvent	BeginBatchEdit

1647596454226	PolyGesture	InputEvent	BeginBatchEdit

1647596454229	PolyGesture	InputEvent	BeginBatchEdit

1647596454247	PolyGesture	InputEvent	BeginBatchEdit

1647596454881	PolyGesture	InputEvent	BeginBatchEdit

1647596454904	PolyGesture	InputEvent	SelectionChanged 0 0

1647596454907	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 514 514

1647596454915	PolyGesture	InputEvent	SelectionChanged 311 311

1647596454916	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 309 3 2

1647596454920	PolyGesture	InputEvent	SelectionChanged 311 311

1647596454936	PolyGesture	InputEvent	BeginBatchEdit

1647596454938	PolyGesture	InputEvent	BeginBatchEdit

1647596454939	PolyGesture	InputEvent	BeginBatchEdit

1647596454940	PolyGesture	InputEvent	BeginBatchEdit

1647596454955	PolyGesture	InputEvent	BeginBatchEdit

1647596454955	PolyGesture	InputEvent	BeginBatchEdit

1647596454956	PolyGesture	InputEvent	BeginBatchEdit

1647596454957	PolyGesture	InputEvent	BeginBatchEdit

1647596454970	PolyGesture	InputEvent	BeginBatchEdit

1647596454970	PolyGesture	InputEvent	BeginBatchEdit

1647596454972	PolyGesture	InputEvent	BeginBatchEdit

1647596454973	PolyGesture	InputEvent	BeginBatchEdit

1647596454974	PolyGesture	InputEvent	BeginBatchEdit

1647596454977	PolyGesture	InputEvent	BeginBatchEdit

1647596454978	PolyGesture	InputEvent	BeginBatchEdit

1647596454978	PolyGesture	InputEvent	BeginBatchEdit

1647596454988	PolyGesture	InputEvent	BeginBatchEdit

1647596454989	PolyGesture	InputEvent	BeginBatchEdit

1647596455000	PolyGesture	InputEvent	BeginBatchEdit

1647596455000	PolyGesture	InputEvent	BeginBatchEdit

1647596455191	PolyGesture	InputEvent	BeginBatchEdit

1647596455193	PolyGesture	InputEvent	BeginBatchEdit

