1647595862556	PolyGesture	InputEvent	BeginBatchEdit

1647595862572	PolyGesture	InputEvent	BeginBatchEdit

1647595862573	PolyGesture	InputEvent	BeginBatchEdit

1647595862575	PolyGesture	InputEvent	BeginBatchEdit

1647595862576	PolyGesture	InputEvent	BeginBatchEdit

1647595862594	PolyGesture	InputEvent	BeginBatchEdit

1647595862595	PolyGesture	InputEvent	BeginBatchEdit

1647595862682	PolyGesture	InputEvent	BeginBatchEdit

1647595862684	PolyGesture	InputEvent	BeginBatchEdit

1647595862710	PolyGesture	InputEvent	BeginBatchEdit

1647595862718	PolyGesture	InputEvent	SelectionChanged 0 0

1647595862720	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 515 515

1647595862723	PolyGesture	InputEvent	SelectionChanged 312 312

1647595862724	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 310 3 2

1647595862728	PolyGesture	InputEvent	SelectionChanged 312 312

1647595862743	PolyGesture	InputEvent	BeginBatchEdit

1647595862746	PolyGesture	InputEvent	BeginBatchEdit

1647595862747	PolyGesture	InputEvent	BeginBatchEdit

1647595862749	PolyGesture	InputEvent	BeginBatchEdit

1647595862764	PolyGesture	InputEvent	BeginBatchEdit

1647595862764	PolyGesture	InputEvent	BeginBatchEdit

1647595862766	PolyGesture	InputEvent	BeginBatchEdit

1647595862767	PolyGesture	InputEvent	BeginBatchEdit

1647595862786	PolyGesture	InputEvent	BeginBatchEdit

1647595862787	PolyGesture	InputEvent	BeginBatchEdit

1647595862789	PolyGesture	InputEvent	BeginBatchEdit

1647595862791	PolyGesture	InputEvent	BeginBatchEdit

1647595862796	PolyGesture	InputEvent	BeginBatchEdit

1647595862796	PolyGesture	InputEvent	BeginBatchEdit

1647595862798	PolyGesture	InputEvent	BeginBatchEdit

1647595862799	PolyGesture	InputEvent	BeginBatchEdit

1647595862823	PolyGesture	InputEvent	BeginBatchEdit

1647595862823	PolyGesture	InputEvent	BeginBatchEdit

1647595862842	PolyGesture	InputEvent	BeginBatchEdit

1647595862843	PolyGesture	InputEvent	BeginBatchEdit

1647595863026	PolyGesture	InputEvent	BeginBatchEdit

1647595863028	PolyGesture	InputEvent	BeginBatchEdit

1647595863414	PolyGesture	InputEvent	TouchEvent (cursorPosition=312): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=755.0, y[0]=135.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x100000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=598354028, downTime=598354028, deviceId=6, source=0x1002, displayId=0 }
1647595863491	PolyGesture	InputEvent	TouchEvent (cursorPosition=312): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=755.0, y[0]=135.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x100000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=598354120, downTime=598354028, deviceId=6, source=0x1002, displayId=0 }
1647595863502	PolyGesture	InputEvent	SelectionChanged 132 132

1647595863525	PolyGesture	InputEvent	BeginBatchEdit

1647595863563	PolyGesture	InputEvent	BeginBatchEdit

1647595863754	PolyGesture	InputEvent	BeginBatchEdit

1647595863764	PolyGesture	InputEvent	BeginBatchEdit

1647595863786	PolyGesture	InputEvent	BeginBatchEdit

1647595864741	PolyGesture	InputEvent	BeginBatchEdit

1647595864768	PolyGesture	InputEvent	SelectionChanged 0 0

1647595864771	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 514 514

1647595864776	PolyGesture	InputEvent	SelectionChanged 131 131

1647595864777	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 131 1 0

1647595864781	PolyGesture	InputEvent	SelectionChanged 131 131

1647595864790	PolyGesture	InputEvent	BeginBatchEdit

1647595864797	PolyGesture	InputEvent	BeginBatchEdit

1647595864798	PolyGesture	InputEvent	BeginBatchEdit

1647595864800	PolyGesture	InputEvent	BeginBatchEdit

1647595864813	PolyGesture	InputEvent	BeginBatchEdit

1647595864817	PolyGesture	InputEvent	BeginBatchEdit

1647595864817	PolyGesture	InputEvent	BeginBatchEdit

1647595864819	PolyGesture	InputEvent	BeginBatchEdit

1647595864822	PolyGesture	InputEvent	BeginBatchEdit

1647595864829	PolyGesture	InputEvent	BeginBatchEdit

1647595864830	PolyGesture	InputEvent	BeginBatchEdit

1647595864831	PolyGesture	InputEvent	BeginBatchEdit

1647595865030	PolyGesture	InputEvent	BeginBatchEdit

1647595865031	PolyGesture	InputEvent	BeginBatchEdit

1647595865516	PolyGesture	InputEvent	TouchEvent (cursorPosition=131): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=679.0, y[0]=547.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x100000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=598356137, downTime=598356137, deviceId=6, source=0x1002, displayId=0 }
1647595865590	PolyGesture	InputEvent	TouchEvent (cursorPosition=131): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=679.0, y[0]=547.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x100000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=598356220, downTime=598356137, deviceId=6, source=0x1002, displayId=0 }
1647595865597	PolyGesture	InputEvent	SelectionChanged 484 484

1647595865625	PolyGesture	InputEvent	BeginBatchEdit

1647595865668	PolyGesture	InputEvent	BeginBatchEdit

1647595865859	PolyGesture	InputEvent	BeginBatchEdit

1647595865870	PolyGesture	InputEvent	BeginBatchEdit

1647595865894	PolyGesture	InputEvent	BeginBatchEdit

1647595866574	PolyGesture	InputEvent	SelectionChanged 436 436

1647595866594	PolyGesture	InputEvent	BeginBatchEdit

1647595866607	PolyGesture	InputEvent	BeginBatchEdit

1647595866809	PolyGesture	InputEvent	BeginBatchEdit

1647595866811	PolyGesture	InputEvent	BeginBatchEdit

1647595866831	PolyGesture	InputEvent	BeginBatchEdit

1647595867265	PolyGesture	InputEvent	BeginBatchEdit

1647595867291	PolyGesture	InputEvent	SelectionChanged 0 0

1647595867295	PolyGesture	TaskCompleted	Cancella carattere in 12"023 seconds (at 598357925, effective time: 8"921)

***************************************


