1644485042231	PolyGesture	InputEvent	BeginBatchEdit

1644485042236	PolyGesture	InputEvent	SelectionChanged 0 0

1644485042237	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 531 531

1644485042241	PolyGesture	InputEvent	SelectionChanged 106 106

1644485042242	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 103 4 3

1644485042246	PolyGesture	InputEvent	SelectionChanged 106 106

1644485042259	PolyGesture	InputEvent	BeginBatchEdit

1644485042261	PolyGesture	InputEvent	BeginBatchEdit

1644485042264	PolyGesture	InputEvent	BeginBatchEdit

1644485042280	PolyGesture	InputEvent	BeginBatchEdit

1644485042281	PolyGesture	InputEvent	BeginBatchEdit

1644485042281	PolyGesture	InputEvent	BeginBatchEdit

1644485042282	PolyGesture	InputEvent	BeginBatchEdit

1644485042282	PolyGesture	InputEvent	BeginBatchEdit

1644485042291	PolyGesture	InputEvent	BeginBatchEdit

1644485042292	PolyGesture	InputEvent	BeginBatchEdit

1644485042294	PolyGesture	InputEvent	BeginBatchEdit

1644485042294	PolyGesture	InputEvent	BeginBatchEdit

1644485042296	PolyGesture	InputEvent	BeginBatchEdit

1644485042297	PolyGesture	InputEvent	BeginBatchEdit

1644485042298	PolyGesture	InputEvent	BeginBatchEdit

1644485042298	PolyGesture	InputEvent	BeginBatchEdit

1644485042317	PolyGesture	InputEvent	BeginBatchEdit

1644485042318	PolyGesture	InputEvent	BeginBatchEdit

1644485042319	PolyGesture	InputEvent	BeginBatchEdit

1644485042340	PolyGesture	InputEvent	BeginBatchEdit

1644485042358	PolyGesture	InputEvent	BeginBatchEdit

1644485042361	PolyGesture	InputEvent	BeginBatchEdit

1644485042363	PolyGesture	InputEvent	BeginBatchEdit

1644485042369	PolyGesture	InputEvent	SelectionChanged 0 0

1644485042371	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 530 530

1644485042377	PolyGesture	InputEvent	SelectionChanged 105 105

1644485042378	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 103 3 2

1644485042382	PolyGesture	InputEvent	SelectionChanged 105 105

1644485042393	PolyGesture	InputEvent	BeginBatchEdit

1644485042394	PolyGesture	InputEvent	BeginBatchEdit

1644485042395	PolyGesture	InputEvent	BeginBatchEdit

1644485042396	PolyGesture	InputEvent	BeginBatchEdit

1644485042414	PolyGesture	InputEvent	BeginBatchEdit

1644485042415	PolyGesture	InputEvent	BeginBatchEdit

1644485042415	PolyGesture	InputEvent	BeginBatchEdit

1644485042416	PolyGesture	InputEvent	BeginBatchEdit

1644485042425	PolyGesture	InputEvent	BeginBatchEdit

1644485042426	PolyGesture	InputEvent	BeginBatchEdit

1644485042428	PolyGesture	InputEvent	BeginBatchEdit

1644485042429	PolyGesture	InputEvent	BeginBatchEdit

1644485042430	PolyGesture	InputEvent	BeginBatchEdit

1644485042431	PolyGesture	InputEvent	BeginBatchEdit

1644485042431	PolyGesture	InputEvent	BeginBatchEdit

1644485042432	PolyGesture	InputEvent	BeginBatchEdit

1644485042448	PolyGesture	InputEvent	BeginBatchEdit

1644485042449	PolyGesture	InputEvent	BeginBatchEdit

1644485042473	PolyGesture	InputEvent	BeginBatchEdit

1644485042474	PolyGesture	InputEvent	BeginBatchEdit

1644485042518	PolyGesture	InputEvent	BeginBatchEdit

1644485042520	PolyGesture	InputEvent	BeginBatchEdit

1644485042523	PolyGesture	InputEvent	BeginBatchEdit

1644485042532	PolyGesture	InputEvent	SelectionChanged 0 0

1644485042534	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf X round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 529 529

1644485042540	PolyGesture	InputEvent	SelectionChanged 104 104

