1647341808892	PolyGesture	InputEvent	TouchEvent (cursorPosition=131): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=656.0, y[0]=586.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x100000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=423798083, downTime=423798083, deviceId=6, source=0x1002, displayId=0 }
1647341809000	PolyGesture	InputEvent	TouchEvent (cursorPosition=131): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=656.0, y[0]=586.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x100000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=423798201, downTime=423798083, deviceId=6, source=0x1002, displayId=0 }
1647341809008	PolyGesture	InputEvent	SelectionChanged 436 436

1647341809035	PolyGesture	InputEvent	BeginBatchEdit

1647341809069	PolyGesture	InputEvent	BeginBatchEdit

1647341809272	PolyGesture	InputEvent	BeginBatchEdit

1647341809994	PolyGesture	InputEvent	BeginBatchEdit

1647341810016	PolyGesture	InputEvent	SelectionChanged 0 0

1647341810018	PolyGesture	TaskCompleted	Cancella carattere in 8"471 seconds (at 423799219, effective time: 7"371)

***************************************


1647341810030	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little village where he had been so often lately was that no one knew who he was.' 0 513 513

1647341810038	PolyGesture	InputEvent	SelectionChanged 435 435

1647341810039	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little village where he had been so often lately was that no one knew who he was.' 435 1 0

1647341810045	PolyGesture	InputEvent	SelectionChanged 435 435

1647341810053	PolyGesture	InputEvent	BeginBatchEdit

1647341810093	PolyGesture	InputEvent	BeginBatchEdit

1647341810094	PolyGesture	InputEvent	BeginBatchEdit

1647341810101	PolyGesture	InputEvent	BeginBatchEdit

1647341810104	PolyGesture	InputEvent	BeginBatchEdit

1647341810106	PolyGesture	InputEvent	BeginBatchEdit

1647341810109	PolyGesture	InputEvent	BeginBatchEdit

1647341810311	PolyGesture	InputEvent	BeginBatchEdit

1647341810889	PolyGesture	InputEvent	TouchEvent (cursorPosition=435): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=56.0, y[0]=1281.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x100000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=423800087, downTime=423800087, deviceId=6, source=0x1002, displayId=0 }
1647341810976	PolyGesture	InputEvent	TouchEvent (cursorPosition=435): MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=69.0, y[0]=1278.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x100000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=423800176, downTime=423800087, deviceId=6, source=0x1002, displayId=0 }
1647341810998	PolyGesture	InputEvent	TouchEvent (cursorPosition=435): MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=109.061775, y[0]=1274.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x100000, edgeFlags=0x0, pointerCount=1, historySize=2, eventTime=423800194, downTime=423800087, deviceId=6, source=0x1002, displayId=0 }
1647341811005	PolyGesture	InputEvent	SelectionChanged 504 504

1647341811040	PolyGesture	InputEvent	BeginBatchEdit

1647341811041	PolyGesture	InputEvent	TouchEvent (cursorPosition=504): MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=158.42178, y[0]=1273.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x100000, edgeFlags=0x0, pointerCount=1, historySize=5, eventTime=423800227, downTime=423800087, deviceId=6, source=0x1002, displayId=0 }
1647341811046	PolyGesture	InputEvent	SelectionChanged 506 506

1647341811097	PolyGesture	InputEvent	TouchEvent (cursorPosition=506): MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=244.69882, y[0]=1271.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x100000, edgeFlags=0x0, pointerCount=1, historySize=8, eventTime=423800283, downTime=423800087, deviceId=6, source=0x1002, displayId=0 }
1647341811102	PolyGesture	InputEvent	SelectionChanged 510 510

1647341811121	PolyGesture	InputEvent	TouchEvent (cursorPosition=510): MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=283.58682, y[0]=1273.0839, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x100000, edgeFlags=0x0, pointerCount=1, historySize=5, eventTime=423800316, downTime=423800087, deviceId=6, source=0x1002, displayId=0 }
