1647342541589	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 514 514

1647342541596	PolyGesture	InputEvent	SelectionChanged 311 311

1647342541597	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 311 1 0

1647342541602	PolyGesture	InputEvent	SelectionChanged 311 311

1647342541612	PolyGesture	InputEvent	BeginBatchEdit

1647342541618	PolyGesture	InputEvent	BeginBatchEdit

1647342541619	PolyGesture	InputEvent	BeginBatchEdit

1647342541626	PolyGesture	InputEvent	BeginBatchEdit

1647342541629	PolyGesture	InputEvent	BeginBatchEdit

1647342541631	PolyGesture	InputEvent	BeginBatchEdit

1647342541634	PolyGesture	InputEvent	BeginBatchEdit

1647342541835	PolyGesture	InputEvent	BeginBatchEdit

1647342542142	PolyGesture	InputEvent	TouchEvent (cursorPosition=311): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=931.0, y[0]=350.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x100000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=424531341, downTime=424531341, deviceId=6, source=0x1002, displayId=0 }
1647342542281	PolyGesture	InputEvent	TouchEvent (cursorPosition=311): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=931.0, y[0]=350.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x100000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=424531480, downTime=424531341, deviceId=6, source=0x1002, displayId=0 }
1647342542289	PolyGesture	InputEvent	SelectionChanged 436 436

1647342542312	PolyGesture	InputEvent	BeginBatchEdit

1647342542349	PolyGesture	InputEvent	BeginBatchEdit

1647342542550	PolyGesture	InputEvent	BeginBatchEdit

1647342543176	PolyGesture	InputEvent	BeginBatchEdit

1647342543203	PolyGesture	InputEvent	SelectionChanged 0 0

1647342543205	PolyGesture	TaskCompleted	Cancella carattere in 11"582 seconds (at 424532406, effective time: 10"512)

***************************************


1647342543217	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little village where he had been so often lately was that no one knew who he was.' 0 513 513

1647342543223	PolyGesture	InputEvent	SelectionChanged 435 435

1647342543224	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little village where he had been so often lately was that no one knew who he was.' 435 1 0

1647342543229	PolyGesture	InputEvent	SelectionChanged 435 435

1647342543239	PolyGesture	InputEvent	BeginBatchEdit

1647342543290	PolyGesture	InputEvent	BeginBatchEdit

1647342543291	PolyGesture	InputEvent	BeginBatchEdit

1647342543302	PolyGesture	InputEvent	BeginBatchEdit

1647342543308	PolyGesture	InputEvent	BeginBatchEdit

1647342543311	PolyGesture	InputEvent	BeginBatchEdit

1647342543316	PolyGesture	InputEvent	BeginBatchEdit

1647342543517	PolyGesture	InputEvent	BeginBatchEdit

1647342544560	PolyGesture	InputEvent	KeyDown 4 KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_BACK, scanCode=0, metaState=0, flags=0x8, repeatCount=0, eventTime=424533755, downTime=424533755, deviceId=-1, source=0x101, displayId=0 }

1647342544563	PolyGesture	InputEvent	BeginBatchEdit

1647342544602	PolyGesture	InputEvent	WindowFocusChanged false

1647342544629	PolyGesture	InputEvent	BeginBatchEdit

1647342544630	PolyGesture	InputEvent	BeginBatchEdit

1647342545772	PolyGesture	InputEvent	SelectionChanged 0 0

1647342545773	PolyGesture	InputEvent	TextChanged '' 0 0 0

1647342545844	PolyGesture	InputEvent	SelectionChanged 0 0

1647342545844	PolyGesture	InputEvent	SelectionChanged 0 0

1647342545845	PolyGesture	TaskStarted	Cancella parola

1647342545845	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXXXXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 534 534

1647342545848	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXXXXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 0 534

1647342545851	PolyGesture	InputEvent	SelectionChanged 534 534

1647342545865	PolyGesture	InputEvent	FocusChanged true 130 null

1647342545890	PolyGesture	InputEvent	WindowFocusChanged true

1647342546958	PolyGesture	InputEvent	TouchEvent (cursorPosition=534): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=892.0, y[0]=84.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=424536147, downTime=424536147, deviceId=6, source=0x1002, displayId=0 }
1647342547057	PolyGesture	InputEvent	TouchEvent (cursorPosition=534): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=892.0, y[0]=84.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=424536257, downTime=424536147, deviceId=6, source=0x1002, displayId=0 }
1647342547065	PolyGesture	InputEvent	SelectionChanged 109 109

1647342547096	PolyGesture	InputEvent	BeginBatchEdit

1647342547097	PolyGesture	InputEvent	BeginBatchEdit

1647342547109	PolyGesture	InputEvent	BeginBatchEdit

1647342547121	PolyGesture	InputEvent	BeginBatchEdit

1647342547328	PolyGesture	InputEvent	BeginBatchEdit

1647342548897	PolyGesture	InputEvent	SelectionChanged 109 108

1647342548909	PolyGesture	InputEvent	BeginBatchEdit

1647342548914	PolyGesture	InputEvent	BeginBatchEdit

1647342549022	PolyGesture	InputEvent	SelectionChanged 109 107

1647342549044	PolyGesture	InputEvent	BeginBatchEdit

1647342549048	PolyGesture	InputEvent	BeginBatchEdit

1647342549187	PolyGesture	InputEvent	SelectionChanged 109 106

1647342549200	PolyGesture	InputEvent	BeginBatchEdit

1647342549204	PolyGesture	InputEvent	BeginBatchEdit

1647342549342	PolyGesture	InputEvent	SelectionChanged 109 105

1647342549355	PolyGesture	InputEvent	BeginBatchEdit

1647342549359	PolyGesture	InputEvent	BeginBatchEdit

1647342549474	PolyGesture	InputEvent	SelectionChanged 109 104

1647342549489	PolyGesture	InputEvent	BeginBatchEdit

1647342549493	PolyGesture	InputEvent	BeginBatchEdit

1647342549628	PolyGesture	InputEvent	SelectionChanged 109 103

1647342549641	PolyGesture	InputEvent	BeginBatchEdit

1647342549644	PolyGesture	InputEvent	BeginBatchEdit

1647342549773	PolyGesture	InputEvent	SelectionChanged 109 102

1647342549786	PolyGesture	InputEvent	BeginBatchEdit

1647342549790	PolyGesture	InputEvent	BeginBatchEdit

1647342549991	PolyGesture	InputEvent	BeginBatchEdit

1647342550666	PolyGesture	InputEvent	BeginBatchEdit

1647342550668	PolyGesture	InputEvent	SelectionChanged 109 109

1647342550675	PolyGesture	InputEvent	SelectionChanged 0 0

1647342550677	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 527 527

1647342550683	PolyGesture	InputEvent	SelectionChanged 102 102

1647342550684	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 102 7 0

1647342550689	PolyGesture	InputEvent	SelectionChanged 102 102

1647342550702	PolyGesture	InputEvent	BeginBatchEdit

1647342550708	PolyGesture	InputEvent	BeginBatchEdit

1647342550708	PolyGesture	InputEvent	BeginBatchEdit

