1647340682308	PolyGesture	InputEvent	TouchEvent (cursorPosition=131): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=661.0, y[0]=524.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=422671498, downTime=422671498, deviceId=6, source=0x1002, displayId=0 }
1647340682358	PolyGesture	InputEvent	TouchEvent (cursorPosition=131): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=661.0, y[0]=524.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=422671559, downTime=422671498, deviceId=6, source=0x1002, displayId=0 }
1647340682366	PolyGesture	InputEvent	SelectionChanged 436 436

1647340682386	PolyGesture	InputEvent	BeginBatchEdit

1647340682423	PolyGesture	InputEvent	BeginBatchEdit

1647340682615	PolyGesture	InputEvent	BeginBatchEdit

1647340683030	PolyGesture	InputEvent	BeginBatchEdit

1647340683045	PolyGesture	InputEvent	SelectionChanged 0 0

1647340683048	PolyGesture	TaskCompleted	Cancella carattere in 10"790 seconds (at 422672248, effective time: 7"377)

***************************************


1647340683060	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little village where he had been so often lately was that no one knew who he was.' 0 513 513

1647340683066	PolyGesture	InputEvent	SelectionChanged 435 435

1647340683067	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little village where he had been so often lately was that no one knew who he was.' 435 1 0

1647340683073	PolyGesture	InputEvent	SelectionChanged 435 435

1647340683082	PolyGesture	InputEvent	BeginBatchEdit

1647340683122	PolyGesture	InputEvent	BeginBatchEdit

1647340683123	PolyGesture	InputEvent	BeginBatchEdit

1647340683127	PolyGesture	InputEvent	BeginBatchEdit

1647340683131	PolyGesture	InputEvent	BeginBatchEdit

1647340683133	PolyGesture	InputEvent	BeginBatchEdit

1647340683138	PolyGesture	InputEvent	BeginBatchEdit

1647340683341	PolyGesture	InputEvent	BeginBatchEdit

1647340686269	PolyGesture	InputEvent	KeyDown 4 KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_BACK, scanCode=0, metaState=0, flags=0x8, repeatCount=0, eventTime=422675464, downTime=422675464, deviceId=-1, source=0x101, displayId=0 }

1647340686272	PolyGesture	InputEvent	BeginBatchEdit

1647340686315	PolyGesture	InputEvent	WindowFocusChanged false

1647340686352	PolyGesture	InputEvent	BeginBatchEdit

1647340686352	PolyGesture	InputEvent	BeginBatchEdit

1647340687668	PolyGesture	InputEvent	SelectionChanged 0 0

1647340687669	PolyGesture	InputEvent	TextChanged '' 0 0 0

1647340687722	PolyGesture	InputEvent	SelectionChanged 0 0

1647340687722	PolyGesture	InputEvent	SelectionChanged 0 0

1647340687723	PolyGesture	TaskStarted	Cancella parola

1647340687723	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXXXXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 534 534

1647340687726	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXXXXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 0 534

1647340687729	PolyGesture	InputEvent	SelectionChanged 534 534

1647340687743	PolyGesture	InputEvent	FocusChanged true 130 null

1647340687766	PolyGesture	InputEvent	WindowFocusChanged true

1647340689380	PolyGesture	InputEvent	TouchEvent (cursorPosition=534): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=350.0, y[0]=134.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=422678571, downTime=422678571, deviceId=6, source=0x1002, displayId=0 }
1647340689452	PolyGesture	InputEvent	TouchEvent (cursorPosition=534): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=350.0, y[0]=134.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=422678653, downTime=422678571, deviceId=6, source=0x1002, displayId=0 }
1647340689460	PolyGesture	InputEvent	SelectionChanged 109 109

1647340689497	PolyGesture	InputEvent	BeginBatchEdit

1647340689497	PolyGesture	InputEvent	BeginBatchEdit

1647340689498	PolyGesture	InputEvent	BeginBatchEdit

1647340689510	PolyGesture	InputEvent	BeginBatchEdit

1647340689719	PolyGesture	InputEvent	BeginBatchEdit

1647340690737	PolyGesture	InputEvent	TouchEvent (cursorPosition=109): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=179.0, y[0]=145.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=422679937, downTime=422679937, deviceId=6, source=0x1002, displayId=0 }
1647340690797	PolyGesture	InputEvent	TouchEvent (cursorPosition=109): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=179.0, y[0]=145.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=422679997, downTime=422679937, deviceId=6, source=0x1002, displayId=0 }
1647340690815	PolyGesture	InputEvent	SelectionChanged 103 103

1647340690817	PolyGesture	InputEvent	SelectionChanged 109 103

1647340690829	PolyGesture	InputEvent	BeginBatchEdit

1647340690833	PolyGesture	InputEvent	BeginBatchEdit

1647340690833	PolyGesture	InputEvent	BeginBatchEdit

1647340690835	PolyGesture	InputEvent	BeginBatchEdit

1647340691036	PolyGesture	InputEvent	BeginBatchEdit

1647340693278	PolyGesture	InputEvent	BeginBatchEdit

1647340693279	PolyGesture	InputEvent	SelectionChanged 109 109

1647340693287	PolyGesture	InputEvent	SelectionChanged 0 0

1647340693290	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf  round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 528 528

1647340693298	PolyGesture	InputEvent	SelectionChanged 103 103

1647340693299	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf  round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 103 6 0

1647340693302	PolyGesture	InputEvent	SelectionChanged 103 103

1647340693316	PolyGesture	InputEvent	BeginBatchEdit

1647340693322	PolyGesture	InputEvent	BeginBatchEdit

1647340693322	PolyGesture	InputEvent	BeginBatchEdit

1647340693330	PolyGesture	InputEvent	BeginBatchEdit

1647340693338	PolyGesture	InputEvent	BeginBatchEdit

1647340693339	PolyGesture	InputEvent	BeginBatchEdit

1647340693341	PolyGesture	InputEvent	BeginBatchEdit

1647340693543	PolyGesture	InputEvent	BeginBatchEdit

1647340694416	PolyGesture	InputEvent	BeginBatchEdit

1647340694425	PolyGesture	InputEvent	SelectionChanged 0 0

1647340694428	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 527 527

1647340694435	PolyGesture	InputEvent	SelectionChanged 102 102

1647340694436	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 102 1 0

1647340694440	PolyGesture	InputEvent	SelectionChanged 102 102

