1647341084432	PolyGesture	InputEvent	SelectionChanged 0 0

1647341084433	PolyGesture	InputEvent	TextChanged '' 0 0 0

1647341084437	PolyGesture	InputEvent	SelectionChanged 0 0

1647341084437	PolyGesture	InputEvent	SelectionChanged 0 0

1647341084438	PolyGesture	TaskStarted	Cancella parola

1647341084438	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXXXXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 534 534

1647341084442	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXXXXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 0 534

1647341084446	PolyGesture	InputEvent	SelectionChanged 534 534

1647341084457	PolyGesture	InputEvent	FocusChanged true 130 null

1647341084480	PolyGesture	InputEvent	WindowFocusChanged true

1647341084485	PolyGesture	InputEvent	BeginBatchEdit

1647341084485	PolyGesture	InputEvent	BeginBatchEdit

1647341085508	PolyGesture	InputEvent	TouchEvent (cursorPosition=534): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=261.0, y[0]=199.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=423074694, downTime=423074694, deviceId=6, source=0x1002, displayId=0 }
1647341085827	PolyGesture	InputEvent	SelectionChanged 103 109

1647341086052	PolyGesture	InputEvent	TouchEvent (cursorPosition=103): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=261.0, y[0]=199.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=423075252, downTime=423074694, deviceId=6, source=0x1002, displayId=0 }
1647341086142	PolyGesture	InputEvent	BeginBatchEdit

1647341086287	PolyGesture	InputEvent	BeginBatchEdit

1647341086288	PolyGesture	InputEvent	BeginBatchEdit

1647341086933	PolyGesture	InputEvent	KeyDown 67 KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_DEL, scanCode=0, metaState=0, flags=0x6, repeatCount=0, eventTime=423076132, downTime=423076132, deviceId=-1, source=0x101, displayId=-1 }

1647341086936	PolyGesture	InputEvent	BeginBatchEdit

1647341086979	PolyGesture	InputEvent	SelectionChanged 0 0

1647341086982	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf  round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 528 528

1647341086989	PolyGesture	InputEvent	SelectionChanged 103 103

1647341086990	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf  round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 103 6 0

1647341086993	PolyGesture	InputEvent	SelectionChanged 103 103

