1647343703578	PolyGesture	InputEvent	WindowFocusChanged true

1647343704668	PolyGesture	InputEvent	TouchEvent (cursorPosition=534): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=752.0, y[0]=91.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=425574344, downTime=425574344, deviceId=6, source=0x1002, displayId=0 }
1647343704713	PolyGesture	InputEvent	TouchEvent (cursorPosition=534): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=752.0, y[0]=91.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=425574399, downTime=425574344, deviceId=6, source=0x1002, displayId=0 }
1647343704722	PolyGesture	InputEvent	SelectionChanged 102 102

1647343704755	PolyGesture	InputEvent	BeginBatchEdit

1647343704755	PolyGesture	InputEvent	BeginBatchEdit

1647343704768	PolyGesture	InputEvent	BeginBatchEdit

1647343704776	PolyGesture	InputEvent	BeginBatchEdit

1647343704985	PolyGesture	InputEvent	BeginBatchEdit

1647343705461	PolyGesture	InputEvent	SelectionChanged 103 103

1647343705477	PolyGesture	InputEvent	BeginBatchEdit

1647343705487	PolyGesture	InputEvent	BeginBatchEdit

1647343705704	PolyGesture	InputEvent	BeginBatchEdit

1647343706257	PolyGesture	InputEvent	TouchEvent (cursorPosition=103): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=871.0, y[0]=102.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=425575932, downTime=425575932, deviceId=6, source=0x1002, displayId=0 }
1647343706290	PolyGesture	InputEvent	TouchEvent (cursorPosition=103): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=871.0, y[0]=102.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=425575975, downTime=425575932, deviceId=6, source=0x1002, displayId=0 }
1647343706307	PolyGesture	InputEvent	SelectionChanged 165 165

1647343706309	PolyGesture	InputEvent	SelectionChanged 103 165

1647343706322	PolyGesture	InputEvent	BeginBatchEdit

1647343706325	PolyGesture	InputEvent	BeginBatchEdit

1647343706326	PolyGesture	InputEvent	BeginBatchEdit

1647343706329	PolyGesture	InputEvent	BeginBatchEdit

1647343706530	PolyGesture	InputEvent	BeginBatchEdit

