1644605205421	PolyGesture	InputEvent	BeginBatchEdit

1644605205986	PolyGesture	InputEvent	TouchEvent (cursorPosition=358): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=950.0, y[0]=349.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x100000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=30456909, downTime=30456909, deviceId=4, source=0x1002, displayId=0 }
1644605206045	PolyGesture	InputEvent	TouchEvent (cursorPosition=358): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=950.0, y[0]=349.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x100000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=30456970, downTime=30456909, deviceId=4, source=0x1002, displayId=0 }
1644605206067	PolyGesture	InputEvent	SelectionChanged 312 312

1644605206099	PolyGesture	InputEvent	BeginBatchEdit

1644605206120	PolyGesture	InputEvent	BeginBatchEdit

1644605206334	PolyGesture	InputEvent	BeginBatchEdit

1644605206335	PolyGesture	InputEvent	BeginBatchEdit

1644605206356	PolyGesture	InputEvent	BeginBatchEdit

1644605206966	PolyGesture	InputEvent	BeginBatchEdit

1644605206979	PolyGesture	InputEvent	SelectionChanged 0 0

1644605206981	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 514 514

1644605206985	PolyGesture	InputEvent	SelectionChanged 311 311

