1644059510072	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not evXen put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beXwhen he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little village where he had been so often lately was that no one knew who he was.' 0 515 515

1644059510083	PolyGesture	InputEvent	SelectionChanged 314 314

1644059510084	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not evXen put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beXwhen he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little village where he had been so often lately was that no one knew who he was.' 314 1 0

1644059510090	PolyGesture	InputEvent	SelectionChanged 314 314

1644059510148	PolyGesture	InputEvent	BeginBatchEdit

1644059510821	PolyGesture	InputEvent	BeginBatchEdit

1644059510822	PolyGesture	InputEvent	KeyDown 67 KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_DEL, scanCode=0, metaState=0, flags=0x6, repeatCount=0, eventTime=156132832, downTime=156132832, deviceId=-1, source=0x0, displayId=0 }

1644059510825	PolyGesture	InputEvent	BeginBatchEdit

1644059510842	PolyGesture	InputEvent	SelectionChanged 0 0

1644059510845	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not evXen put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to bewhen he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little village where he had been so often lately was that no one knew who he was.' 0 514 514

1644059510853	PolyGesture	InputEvent	SelectionChanged 313 313

1644059510854	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not evXen put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to bewhen he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little village where he had been so often lately was that no one knew who he was.' 313 1 0

1644059510862	PolyGesture	InputEvent	SelectionChanged 313 313

1644059510888	PolyGesture	InputEvent	BeginBatchEdit

1644059511621	PolyGesture	InputEvent	BeginBatchEdit

1644059511638	PolyGesture	InputEvent	SelectionChanged 0 0

